emotion,example
disgust,"And it’s only side I worked at gas station, you know, whatever it is to that, you know, stuff And finally, I went to couple of places to get a better field My parents wanted me to be either a doctor or engineer But, uh my math was not that good, so I didn’t want to be an engineer Doctor, I didn’t want to be a doctor because in high school in India, I took the uh, you know, b— biology and botany, and the teacher, first they said, “You know, we are going to cut a rabbit and all that stuff"
disgust,"The city, at that time I say, “I hate the city, I don’t ever want to move there ” But then I went to school here, Catholic University and all that And we loved it Ever since, loved this place so much"
disgust,"Not like I want to be a United States president, small baby steps, small goals Okay in three months, I want to finish this whatever education, okay I finished it Let me go and gain some experience in sixth months Go and find some opportunity to get the next one Oh, I don’t like this"
disgust,"Um… well… when I was like 14, 15ish, yea uh I went for this Math Olympiad and that made me me really interested in math, I wanted to be a math major, uh but Sri Lanka doesn’t have a good math program anywhere in the country so um… so umm uh my cousin and my aunt lives here ummm, she told me to come and check this out and I checked University of Maryland and they have a really good math program which is why I decide to come to Maryland and then I decided I had to come to US---"
disgust,"Well um we learn this extensively for our history lessons…in our history lessons since we’re so small…and we’re like at least in Buddhism like we learn Buddhism also in school…in those likes we learn to like hate the British era because it changed us, it deprived us of lots of values kind of…um like there were lots of fighters who wanted them out and who were fighting against them…and there are heroes, our heroes just like Martin Luther King… those kinds of heroes…those are ours like the ones who fought against the British…SO um we’re taught to hate them in general  like at least the era, but then for history we learn the good sides And there are lots of good sides…I don’t like…I don’t…I wish we weren’t captured but I’m glad we learned We had English because of them, we had lots of good stuff because of them"
gratitude,"Because, you know, life raft, you don't know where you're going, you're just sort of stuck, and then, and then, uh, thankfully, uh, about two days later, they, uh, they were, they started a search and rescue effort and then a search and rescue aircraft, Garnier spotted us, uh, like, and then they, they spotted us, they marked our location, and then I think a day later they had redirected like a survey vessel to like, come pick us up, and so then we got picked up and then brought back to shore and of course like after debrief and stuff They gave me a long shore leave, uh, to like take some time and figure out what next And like it's all very complicated because like, I was still officially, like we were, I was in the Navy, so like I, I couldn't escape Like there's nothing that I could do, uh, this, this project has pretty much had this huge roadblock right, like we lost the vessel, so like it was like a lot of reviews happening and stuff, and then, um, so, so, the, the guy who was a sort of in charge of this project was like, we just have to go back to rebuild phase, like, I mean we lost the prototype but we need to build a second prototype, that's just the way we have to do it and you know it's going to cost much less to build a second prototype, so let's just do it, and then so he was all gung ho about it and the Navy was like, oh you know you guys are going to take us another three years to build this like and it's going to be wherever we need to like reevaluate like priorities and stuff, meanwhile you don't get like assigned to this project now because like they're going back to shore to designing you, your, your next tour of duty, you're sort of figuring out what your next assignment is going to be, it’s not going to be this, I was like, so what about grad school and stuff like, you know the whole part of this was so I could like build a career They were like, ‘well that sucks for you but like this is what's going to happen’"
gratitude,"As a matter of fact, you know, uh wherever I went, being different, the American students as well as the faculty, they wanted to get close enough to find out more about you And work with you And toward the end hours every time the conversation, “Anything we could do, we’ll be there for you ” And that’s what gave me the strength to continue"
gratitude,"What he thought he made a mistake not a mistake, but he gave his family very protected life, provided everything They have a servant, they have a government vehicle to go around so my wife doesn't know what ischallenge, and what is difficult Food is there, transport is there, happily going to college and come back"
gratitude,"yeah, So, although Sri Lanka is a- a majority Buddhist country I attended a Catholic school And, uh, I grew up around uh, quite a lot of Buddhists and Muslims And, I was blessed to be immersed in such diversity"
gratitude,"I- and um, I really appreciated um, uh, going to school in a Catholic setting, and starting school with prayer And um, scripture study and mass in the morning It- it has helped me stay true to the gospel even 'til this day"
gratitude,"And my- my mom wanted me to grow up in that- in that circle where God was given a place, uh, it's God was given the foremost place uh, in education And where uh, we had good examples to look up to- we uh, um- all of our principals were priests And- I, even though there are uh, debatable examples  of priests  today- I- I grew up with very good examples, and they- they- to this day um, I even quote some of the- the um, the sermons that they delivered growing up And um, they definitely um, um, they definitely mentored me and put me in the spiritual path"
gratitude,"I believe what helped, what helped was my mom um, getting remarried It expedited the case, uh, she remarried uh, American citizen And- um, I graduated high school with- with honors and- uh, I was already two years into college,"
gratitude,"probably the best academic home I've had In the sense that it just suits me by temperament, by predilection, by dispositon What I do is what this academic also wants to do, not all the time but most of the time And I felt that is one I felt very lucky an"
gratitude,"This is a Bengali intellectual history, oral history interview recorded on February 1st 2010, with Professor Amartya Sen in Cambridge Massachusetts tower building, Professor Sen thank you so much for our time Thank you, it's an honor to have this time with you I wanted to begin this interview the way that we've begun all the interviews so far which is to ask for your place of birth and your date of birth and then we will go from there, just say"
gratitude,"And one student would be selected I was not sure that I would get it but somehow or other I got it because there were other candidates with qualifications I thought well better than mine, but I got it"
joy,"So that's like the most enjoyable shipwrecking that has ever happened in history ” Andy: “That’s an interesting way to put it Um, and when you went to grad school here, that was for a Ph D , correct"
joy,"then, things were after that, they, we, University of Pennsylvania’s pretty good M: I spend like 7 or 8 years I think and work wise I am very happy, and then okay, let me buy a house, then I bought my first house there By the meantime we got our second child, a daughter, and then I stayed back at University of Pennsylvania, thinking okay I may stay back over there Then it is not a tenured position, after a certain time, you need either move up to tenured position or you need to go for a faculty somewhere or something like that"
joy,"It’s a follow up question And in general, I am very happy Happiness is when you see your own people When, you don’t know, especially your mom, she will get so excited to see American-Indian people When I was living in Vermont, or in Salt Lake City, I remember in Vermont we had a professor his name is and we were very happy"
joy,"Get me ready for school And then I would sleep on the bus all the way home Anyway, um that was Bangkok It was a fun place It was very urban obviously"
joy,"And I fit—I fit in perfectly well because I was similar to them It’s people that are just so transient Malindi: And there were also um enrolled in the school, um children of government officials from Namibia because they had the money to go to this private school So, I had—I made friends with all these like ministers’ kids and stuff like that Um yeah, so that was—that was a cool experience"
joy,"But the more enjoyable part of life was not there I now, looking back, I think there until quite late in high school, the kinds of books I enjoyed reading were all Bengali of my other readings, were all in Bengali, which is sometimes looking back now, I"
joy,"But, you know, after I got used to the methods over there I think enjoyed the studies very much I got to know two or three of my teachers very well Particularly there was a history teacher-- I was doing far Eastern History, Japan and China and I became quite friendly with them which is possible in the States I think"
joy,"Yeah, because my father who was a Professor of Chemistry got leave for 3 years to go to the Agricultural College in Mandalay and he was a Professor there, Visiting Professor, but he was also for a while became Principal of it too, but we lived in Mandalay We had a lovely house in Mandalay on the Maymyo side of the town had quite a lovely view of the Maymyo hills and the light coming on in the evening there So all my earliest memories are that of Mandalay, Burma and I really enjoyed that time and in a sense had a kind of internationalization very early and it seemed likable people everywhere And then from there you moved"
joy,"I learned all my Sanskrit from one of these Bengali Christian teachers who absolutely adored Sanskrit So it was, school experience was 100 per cent I am so happy that my parents sent me to that school, I cannot tell you So that was my school In fact the Principal Ms"
joy,"It's logic, Indian logic, and so there was a lot of discussion among the students and Gopi Nath Bhattachajee counterargument and counterargument, which was very enjoyable and we had a very brilliant boy called Luka Das Banerjee, and he was very good at it, and I sometimes joined, and Gopi Nath Bhattacharjee was very that I remember very clearly Another one was Amiyo Kumar Majumdar He used to teach us History of Philosophy, and there we also had a lot of discussions about existentialism, and positivism, and utilitarianism, and all sorts of things in the class It was very discuss-oriented, but it wasn’t a research-oriented syllabus"
love,"That's been the coolest thing, like, you know, like randomly liked a woman like once in grad school and like a guy we met a couple of times, he's from Brazil and like, uh, we were walking around somewhere and like, I was really into this band for a while called Russian Circles, they're like something like progressive rock band that's like from Ohio, and um, and then I had like, I, so I was like, I mentioned them in conversation, and he's like, dude, I love that band, and like, I'm like, this random dude in Brazil, in this random dude from India are both obsessed with this random band from Ohio that no one else has heard about Like, and that's like, that's what's so cool about the world these days, it’s like it’s just that no matter where you are Like there's no limitation to access, like you can if you're like growing up in Ethiopia and you're like, you know what I want to know everything there is to know about like genetics, the, it's no longer limited by the fact that you're growing up in Ethiopia, like you can, you can pretty much know everything you need to know like pronto ” Andy: “Yeah"
love,"I th th did the um IB program in 11 and 12 grade which was challenging Um, I also met my first husband there, your father, Mavi Malindi: So, um I fell in love with this guy in the second half of ninth grade towards tenth grade and um we thought we were gonna be together forever, um We really did Talked about it all the time"
love,"So I knew him, and my former wife Nabaneeta , she was a student of Buddhadeb and very close friend so I knew them all so in a family way So and I have actually always liked Buddhadeb's writing a lot, I thought he was very brilliant both in particularly I am thinking of his essays and novels and fiction rather than poetry, but I enjoy that very much"
love,"Sometimes we just sat in the other lawn in front of in the college nobody stopped us from doing that you know, so we always discussed I learned a great deal about modern literature, modern poetry from them-and I had my first love affair happened there and that young man, my class mate he had he used to give me new books of volumes of poetry"
love,"Yes, and I loved the novel, perhaps that's the thing that also made me so intense At the end of school-leaving times, also I have to say if you don't conform, other children persecute you Meaning at school, particularly at school"
love,"And I think I participated in multiple organizations including the student government and activities board, and I think, like I said, just having that circle was really helpful and was a really good protective factor for me It was a really beautiful campus as well And I love being at ULM I lived on campus for about 2 1/2 years and I don't think being on campus made a difference I don't think I was able to make friends with my roommates because of their priorities, they worked home every weekend, so I didn't get to spend a lot of time with them"
love,"I don’t think feeling weight or burden is quite what I felt I think, first and foremost, I feel and felt blessed just to have the chance for my work to be a labor of love You know, I wrote my senior thesis in college about sort of the relations between the U S and Asian, I’ve always been interested in sort of the connections between the West and the East"
love,"And that's where I felt like, I knew four languages, but I don't know any of them at literary level So, I spent about three years learning my vocabulary, so it would become to the United States graduate-level, on my own And then, I started reading a lot of literature, which I have a complete love for reading So, I read lot of American literature And everything makes you grow and change"
love,"No, very loving father He emphasized that we all get a good education Because we were seven brothers and sisters, total My eldest one, when he graduated from high school from the village, he was sent to Dehradun for further education When I finished my high school, because there was no intermediate in the village, I went to Roorkee, which was nearby town"
love,"In the meantime, when I was doing my PhD, he also did his PhD in India, with the same professor who had arranged our marriage So, of course he wanted to come, so of course I had no choice, I had to come with him And I was not unhappy about that, but after that, whatever he did more or less decided my fate I could not go somewhere else And here, after he got his job, somebody else gave me a job in Urbana, and then I started working as a post-doc with another professor, who also liked me very much, and I liked him and we did good research"
disappointment,"Then my father, ""You don't know what you are studying, you don't know what kind of job you are getting, so what are you studying for "" Somehow I was very adamant: ""Let me study for two years and let me find out what it is"" Then I kind of convinced him, ""Oh I work in the hospital, in the laboratory, analyzing the samples, estimating cholesterol, glucose, and all kind of thing Oh he said ""Oh, looks like something interesting, then I went for uh a biochemistry, a masters in biochemistry M: But, at that time there was not much job opportunity for biochemist, a whole hospital need one analyst, they don't a masters in biochemistry, they can hire some HLC, I mean some high school kid, and train them to do it, so I'm kind of stuck there, except I got some teaching job in a local college, I started doing some teaching But I thought that life is not just teaching, there must be more than that"
disappointment,"‘Oh my god next January 30 my VISA is expiring, what should I do ’ That is one thing that was the hardest part Somehow we managed to, I worked through that And the other hardest part I can think is, even though I have the knowledge and experience and education, I could not compete as good as a fellow American Because their communication, their society is much much better than me, in general"
disappointment,"It was—it was an awesome school Very big, it went through kindergarten through high school, it’s a really great school Um so after many months I was going to school there And it was in English obviously And it was really difficult ‘cause not only was I trying to learn English, but it’s a big school, and you know, the standard was so high and um, and the commute oh my gosh"
disappointment,"So, I got a scholarship I went to Dhaka for studying B A Honours But I gave up, no I didn't do Honours"
disappointment,"That certainly I did feel see because everybody said at Presidency --not my parents, not my home upbringing -- but everybody said that, you know, Gayatri does so well in her exams because she is such a good-looking young thing She's flashy, but the real brains are, like, Surajit Sen, and so on and so forth, but at any rate, so I thought I wouldn't get in And so Harvard and Yale, too good, so I chose Cornell for that reason And then I sent them, I remember, from Ballygunge Post Office, a telegram saying I was a very good student, which indeed I was I had come first class first in my BA in English honors, but I didn't need financial assistance, because I thought I wouldn't get a scholarship"
disappointment,"No I did very well in the exam; in fact I did very well all through school In fact the problem with my father is that my father, unlike American father’s, American parents who think and believe in positive feedback, my father did not believe in positive feedback, he did not praise you for doing well So after a point in the Hindu school he would look at the scores, not A,B,C, but actual, so many scores out of all the papers up to thousand, if you would do 800 something or 900 something So he would always compare that with the person stood second"
disappointment,"He didn’t, but I think he disliked the aggression of it He disliked how politicized education was becoming and there I would like to end by saying that indeed I do have feel that disappointment greatly,"
disappointment,"Excellent school Excellent school it was when I continuously referring to the past as we higher educational achievement of Bengal I think I should explain to you why I consider it has gone down You see somehow the institution of democracy that was adopted by the constitution writers of India was I think a premature action Because you cannot take decisions of equal importance by literate and illiterate person The illiterate person will be taking correct decision about his way of life, the way he can make money, can develop his skill but intellectuals are quite different"
disappointment,"I applied for scholarship from the Government of West Bengal and I got one it's called state scholarship, very poor, but because we became poor because prices were rising at that time before that when this amount was settled decided quite 400 pounds a year and that was a great amount of money say in 1945, 1947 not in 1954 and I applied for a Rhodes Scholarship So I have select about four people and they interact and I asked permission the government could I No we can't do it Afterwards"
disappointment,Taking the intermediate it was 4 'Ah' now it is 3 years but 2+2 The actual honors course we studied for two years and then for 2 years were graduate studies Post graduate we found a bit disappointing because while there were very great scholars  there were not good teachers In fact most of them were not terribly concerned with teaching
confusion,"” Ok, then I took, went for graduate school and uh it was little struggle, like a struggle in the sense I don't know what I'm doing and I don't know whether to apply for it and at that time, luckily, one of the best college in India, southern part, it is called Christian Medical College, Vellore M: Still it have a very high reputation for turning out uh medical graduates If you are a product, alumnae of CMC, they really look up on it"
confusion,"yea…there’s lots of stuff which confused me… like y’know in Sri Lanka there’s free college…so why is college soooo expensive here I guess at least it has to be a bit cheaper so people can actually afford it…um…and also um…just like specific stuff actually…stuff like paying – like paid leaves for mothers like that’s in Sri Lanka—Free Medical care that’s in Sri Lanka…uhm just like specific stuff I guess it’s a progressive country i don’t get—like such a progressive, like number one progressive country in the world…I don’t understand why Americans can get those stuff"
confusion,"I don’t know if you have seen it behind Park Street which used to be Sir Elijah Impey's garden house Beautiful, beautiful surroundings, that’s where I went to school from 1950 to 1958"
confusion,"Okay Um, so that kind of was a thing that I remembered And, um, that same year there was also like a vandalizing, um, of the student of the Jewish student org, or like one of the, the lawns were either destroyed or vandalized, um, and it was antisemitic So things like that started to come up more frequently in 2017 and I don't really know what, what was causing it, but obviously, you know, along with, um, Trump's election and everything, I dunno if there's direct correlation, but I'm going to say there is, um, but you know, more of those voices who, um, who are pro-Trump in the sense that they're racist or they're hateful towards other groups Um, those kinds of feelings started to come up around campus as well"
confusion,"Yeah, accounts and everything else But he did not have much of a formal education And my mother could read and write Hindi I'm not sure how much far more education she had"
confusion,"No, not really I was never quite sure whether I wanted to be a doctor or an engineer, so I applied for both colleges I was pretty sure I was going to get a seat in both because the seats were assigned by the community and by your high school rank I was on the top of the class for the Christians, so I was sure I will have a seat on both of them But somebody sabotaged the medical application"
confusion,"Well, I don’t know if it was difficult to get used to; it was difficult in the sense of finding food that we liked It was much better to eat in the cafeteria where you could see the dishes, because the name didn’t tell you much as to what it would look like or  it would taste If you could see it in the cafeteria, you sort of had a good idea of which one you might like, and pick that food So mostly, all the time that we were in the dormitory or student housing, we ate cafeteria food Once in a while we went to the Chinese restaurant or pizza place, but those days, in the 50s, I think in Ohio there was only one pizza restaurant"
confusion,"First, let me talk about quantity versus quality It is possible to teach a larger number of students, with the same quality, with the same output, if you have a planned and scalable model If your scalable model has a syllabus, has a teaching methodology that is precise and predictable, if you have a process and teaching assistants who can replicate the intent that the artistic director has Then the ability of the artistic director to nurture a child can be replicated systematically through the predefined process, in a scalable fashion, while somebody is overseeing all these However, I am not sure if most of the large schools that you are talking about have actually mastered the ability to do that"
confusion,"But I’m not sure if it was a girl whether I would have felt differently I think as a girl’s mother, I would have felt a little more responsible But you have to have certain trust and also you have to kind of have the home atmosphere and education to know what is right and what is wrong"
confusion,"It was Catholic school run by the nuns Such schools were called and are still called Convent Schools I don't know how the name came about Perhaps, the British termed it ""convent of the nuns Most of these were run by Catholic nuns"
excitement,"I was so excited, oh god, they are paying for everything, that is cool Then I went, at the University of Vermont I started doing the project, by the meantime I was getting little old and my parents were asking when are you settling down, what's your plan kind of thing Maybe around 27 or 28 at the time"
excitement,"And uh, so, when I came to the U S , I did want to pursue, um, my studies and so I um- but, a few months after I arrived I got my first job in the accounting field, which was really exciting because, um, some of my friends who had moved here had not found jobs in their career fields when they first came so they they took up jobs, um, you know, just cashiering jobs or just something to get them started But to me, uh for me, I had- I had applied just to a few places and then this job came along, um, and I got it so that was really really exciting that I had got this job in the accounting field, uh, for a big uh supply, office supply company that used to supply, um, uh, supplies to to the government They had a lot of government contracts and so I actually started with them in December of 1987"
excitement,"Um, it was really magical and then two weeks after I had you, I went back to school"
excitement,"Because my dad made me Malindi: So, um it was very exciting when I first got letters back My first one was from um University of Illinois in Urbana Champaign, and then Wisconsin, and the third one was University of Virginia And my dad was like, “That’s the one That’s the one you’re going to"
excitement,"The name of it was Kobor, a Graveyard In fact, in a sense it was a love poem… but you know… it will be difficult or almost impossible for any reader to think it has a love theme It was a poem –it had been treated at that time –in fact that was my 3rd year, the 1st year of honors course And my friends, somehow, had read that poem and they were very excited about that poem and I had to recite it in college–that poem And that excitement was, that was very… this poem, was a poem of social consciousness"
excitement,"which had men and woman from Presidency College and Brabourne is the women's, you know, equivalent, and couple of others, St Xaviers, very exclusive little group, and I remember I used to organize things and young Amartya, then Amartya, just come back from Cambridge he gave a talk at our club He probably wouldn't remember so many ago actually I should ask him interesting and the so coming back to it so this was very exciting but we I think we were I will be back"
excitement,"Being South Asian, he was the only person who by chance came into my life through my nephew Parent-teacher conference So when I went to Hibbard school, I was this very talkative, friendly young teacher and so excited doing what I was doing and working as a Gujrati bilingual pull out teacher I was following her, she left a few lesson plans, but, the principal, Helen Mars went out of her way to assign a couple of people to show me how to use a certain props here in this country that I was not familiar with back home But, teaching just came so naturally to me"
excitement,"Cultural background And the kids and the family members and the parents were so excited and so, first year, I got this free bus to take my parents and students to go perform at parents’ meeting downtown So, we got invited another time, the following year, and then the following year And then we started getting invitations for, from various other agencies like Salvation Army, and police department, and people who came across me or found out through other, through our school, that we have nice dance troupe I was always asked that, people would always think, outsiders would think that I have a dance academy, and I would just feel so special because imagine, forget about owning a dance academy, I was not even raised doing this dance"
excitement,"So I became interested in learning about the real world, and how research and science can impact the real world I thought <"
excitement,"Boy, he was thrilled – he said, “I won’t have to sit in the exam ”  He was just thrilled He said, “Thank God Blessing in disguise ”  So after he got out the hospital, he left the university and joined a trade school where they teach motor mechanics and auto repairs"
anger,"She said adamantly no, I cannot do it anymore, you make up a decision, otherwise one day I'm going to hide in your car trunk, when you are driving to DC, leave the kids at home, I'll be with you  M: I got a little she's not going to do it, but I understand what her point is She came from a well to do, middle class family and her father her father is a very hard working man, my father in law he is like me, he is a man of-, he born as a son of a agriculturist, he worked in a land in a remote area, he went to school, by what I heard, by biking ten miles per day to the elementary school"
anger,"So y- so in- in the school bus uh, it got to a point where um, it be- it turned into a physical alt- altercation where, uh, I had to- I had to defend myself physically- I had to like fight back And then I- and then my mom sh-said do you-do you really want us to get deported and go back to Sri Lanka And then I had to re-rethink my- I had to re-channel my anger in a different way"
anger,"Well, the I mean I did badly in B A because you know again my reaction always to this kind of thing has been not of depression but of anger because I knew that this the examination was not fair in 2, 3 at least in 2 papers I knew that they are ignorant and they had not read after their student days any thing new and in one case I knew that deliberately -- there was a professor deliberately marked down any student from Presidency college whom he considered too promising This has happened the year before me also So I was angry and then the M"
anger,"They are committed to education You know, in the language that we would understand as young children, so don’t speak only in English at home It's all right to speak it in school if that’s what is expected of you, and it’s good you are learning English well, but at home you should speak your own mother tongue to communicate Don’t use terms like -- you know school children at every age have certain slang words, slang that become quite common to their everyday utterances such as, Shut up, or, Get out, or, Don’t be stupid We were forbidden to do that kind of thing between ourselves even as brothers and sisters, you know, don’t do that"
anger,"And I had a boss who basically made me rewrite and rewrite my memos 20 to 20 or 30 times I still am friends with her, by the way, though I hated her, deeply She was a PhD in English from the University of Chicago who just happened to be my boss, right So she taught me how to write That was one"
anger,"When she graduated from college, she asked Norman to give her a job, which Norman did because that was the daughter of his biggest client That was very common there anyway And there was no work for her so she helped me with all my admission applications There was nothing else that he wanted her to do, he put at my disposal And she, I think, she resisted fiercely; she hated it"
anger,"To get to Class One Gazetted Officer can be 15 to 20 years, and here we walked in right away But the frustration of the other things were such that when I came , I came with a full mind that I’m going to stay now In my mind, I went, I tried my best, and worked, and enjoyed it while doing it there, but couldn’t see any long-term future in my field there As a matter of fact, one of my students… Oh, by the way, in any of my classes, nobody ever wanted to skip that They thought it was interesting classes"
anger,"Still, I wasn’t very proficient and the students were getting frustrated And then the following year we came back to Seattle, and that’s when I decided to take classes in sign language"
anger,"When I came here, I said that I got me education there after going through so many hardships, I don't have a job, and I am so frustrated-, all I had to look forward on a day-to-day basis was what I was going to eat for breakfast, and what I would eat for dinner We thought that it would be good for our children to get out of this environment, and get some good education Because, you may know, in Pakistan, most of the schools have been privatized, and the standard of education has deteriorated In fact, my father is a teacher-, a professor, he is very— In seventy-five, and seventy-eight, when all this was happening- , when Bhutto  did this--"
anger,"Things that, sort of, made you want to-, to  the causes that we believed in, and wanted to-, we wanted to change things I miss not being able to be a part of that, even with all the education and-, and, er -opportunities that I've had, I feel frustrated that-, that-, er that I-, I believed in all these causes so much Now I'm probably in a-, even better position to do something about those things"
surprise,"And- and I started school two days after I went into school and I saw people staring at the TV screen and I looked at the TV screen and the Twin Towers were coming down and I was shocked cause my mom and I, we came through JFK two days before that And I was so shocked to the point where I shared the same disbelief that everybody else shared But when the- t- the suspects came on the TV, I- was looked at as this guy  who- who just came to this country"
surprise,"and I still remember I was a bit surprised because I remember1st, 2nd, 3rd means doing well in school and I did not expect to do that well as I didn’t know anything about examinations but later on I was good at studies and I used to come first in most of the examination later"
surprise,"And I didn’t know what I would do on Monday and where I would go And past noon, like in the afternoon, the principal of this school paged me and the district supervisor, Graciela Shelley, was sitting in the office and they were both beaming with joy and looking at each other’s faces and I, I didn’t know what to do, because that was my last day, pretty much So, they announced that on Monday, I was supposed to report to Peterson school very close by And they had created a Gujrati bilingual position for me so I could go and work there So, I ended up going to Peterson for the rest of the year, and I worked at Peterson until June 1990, at Peterson school"
surprise,"And it’s just amazing to me how different the world is today Today, when students are hired in, they already know Often, they have minors in business Not true in those days"
surprise,"That incident I remember Then there are several other incidents I remember There were a lot of students from South America, and the most amazing part of that thing is that they don’t speak a word of English Nothing at all When they come, I was surprised myself that these guys don’t know a word of English and here they are, going to the university"
surprise,"And, then the following year there was a … during summer vacation I was reading the newspaper with my morning chai, and I saw applications that invited student dancers And, the name of the institute was the same institute that this person on TV was And, I remember the dancer’s name, his name is, he is still alive, his name is Bhushan Lakhandri He is an excellent dancer, and I said, oh my God, this is the same institute that Rama learns dance … JP:  I got to join, and it is so serendipitous, right It’s all destiny"
surprise,"That was another thing which I found It was surprising for me to see that the price of, if I remember right, walking into this food store--Safeway, in the university area The price of apples and the price of onions were similar, or even onions were more expensive Which was, I was kind It was interesting and strange for me because when I was in India, onions were very reasonable, very cheap in those days, in Punjab area at least"
surprise,"And he umm…there was a time when he didn’t think I would be going to the States So we had investigated going back to India, going to the Philippines, we were looking at, you know, potentially doing education and college in the Philippines And so I really didn’t know… it was very… it was tough I didn’t know where I was going to be going When he did finally send me to the States, it was kind of amazing"
surprise,"Umm… so that thing still amazes me What pretentious drama that I concocted You know, I… I kind of lived that Its like an only…it was a breeze I was going through my classes, my courses, my school"
surprise,"Yeah So we began teaching Hinduism, Hindi-Urdu to the College of Humanities and Social Sciences But I was absolutely surprised that every Indian student was taking Hind i and Urdu I would go to the cafeteria and they were all sharing the tables and so on and so forth It was shocking to me"
caring,"I- well, I- I stopped- I stopped giving them what they wanted- they wanted me fight back They wanted me to take a- take a swing at them, and, um, what I- what I started doing was um, I stopped taking the school bus cause there were a few trouble makers in the school bus who- who're asking for- asking for it So I started uh, taking uh, um, taking my bicycle to school- avoided conflict there- and wherever I had a chance to avoid conflict I avoided- and then, and when you- when you start- when I started building friendships, I had friends stand up for me, and that helped a lot in easing my- uh, in soothing my anger,  in a time like that"
caring,"So I would tell people that if you feel like you need to be recognized and you need that financial assistance to make things happen, um, don't be afraid to start for student organization You only need I think like seven or nine folks to actually make an organization, uh, at Tech So in order to be able to get funding and you had approvals and stuff like that So if that's the only thing that's stopping you guys from um From making it official, then do, do the due diligence and make that, create a name and submit it into the student register, apply to make it official so they get recognized"
caring,"So, my group of six people, could be Japanese, Korean, or it could be Spanish So, what we would do is through our semester, we, each one would take one culture, and that person would lead, and we would experience their culture And we exchanged in that manner And I used many different resources or tools for mentoring, where they learn English, as well as, they might have difficulty in school with their children, or disciplining, or some other problem their face, paying electric bill, whatever And I would try to help them out in any which way I could, and show them the way"
caring,"There was a zamindar called Maharaj who sided with the British against the land and so on Nobody wants to talk about it but the fact was there, with the other business people and so on I think he had a 11 gun salute As a Maharaja he had a 21- gun salute, but he had a 10 or 11 sun salute Since father was a professor in the only college, government college, I had to be very careful when I went to college because would find out my grades and test scores and so on"
caring,"They do so many things, and they try to do it themselves For instance, some of them pay for their own education And here we are, you know, looking to parents for money, and yet, not--and as soon as you are able to earn some money, you leave your parents and you don't take care of them These are not good things that we are learning So, what I feel that yes, don't forget your roots, and try to keep the good things that you have learned"
caring,"All my friendships are very important to me I still stay in touch with my school and college friends from India as well as the United States Each of my friends has essentially filled some rather blind spots in my life Friendships happen when you are not looking My mentors are still around, and we get together quite often"
caring,"Or it could be the other way, where he might say “Hey I don’t think we are compatible We have to, kind of, give up ” And she might be very upset with it And I think especially working with the children in the university environment, I have seen students whose performance has fallen and who are going through a difficult time with their boyfriend or girlfriend So I am kind of…I want to protect my child and protect whoever might be his girlfriend, so…"
caring,"Yes, yes Because in a village it’s hard People are much more nosy than in the city So you have to be careful Anyway, we got married in May and then, same year 1970, he came over here for higher studies at University of Washington, for his graduate studies"
caring,"So, anyway my husband barely escaped a bomb in Colombo So we thought this is not worth it, and also my children… one was, when we came here the last time, my daughter was fifteen and my son was ten So we thought, we need to get them a safer place, although my husband had a good job You know, he was a professor there, and I was a high school teacher The most important thing for us, we need to have a safer place"
caring,"And that would, I think, only come when there is this kind of an environment, where people are bi-lingual, tri-lingual, who teach the kids, you know If a teacher speaks only English, then the child would never get that appreciation, you know, that validation from the teacher, that speaking Punjabi is okay, and learning Punjabi is necessary, for example The teacher may instill-, you know, English is the first thing, and then, you know, you do-, you know, learn other languages at home, you know You know-, they're secondary, you know, that way It's the hierarchy of languages, you know, that is a concern to me"
desire,": I’ll definitely go back at least to visit and I wanna give whatever I can to my country, because I lived there, I got all my education there—I’m just coming here for college and further on … so I feel like I have a duty to give back to my country so there’s anything I could do, I would go and do whatever…um…but I wouldn’t live, y’know, live live Uh…because I wouldn’t be valid there Uh but in the LGBT community of Sri Lanka I definitely want to follow the footsteps of Roseanne Flamer…um because she, I think it’s she—um she also came to US around my age and she went to University and she got this same kind of exposure and she decided to change stuff in Sri Lanka so, and I think she’s doing a great job in that, and I wanna do the Same"
desire,"and I wish I could have just stopped at how I compared Oxford and our academic lives here because there are many dedicated scholars here too, and I wish I could have stopped at that feeling of respect that they do it in spite of all the obstacles, the road blocks in their lives and our lives together, but I wish I could have stopped there but indeed I do -- I have not been sort of participating My husband participated only as a very gentle soul and as an intellectual He never participated in it politically He never did, but because he was an important intellectual, because he was an important scholar, because he was known for his wits, so to speak, therefore he was often a focus of attention It was important what he was writing or saying, even peripherally regarding the political situation, which he was even as a student, you know about Congress  politics and about Marxist politics"
desire,"Once again my love for sociology was renewed and I kidded with my father that whether I could do a second M A in sociology in Delhi but my father retired in 1966 and it was not possible for me to finance education another round of M A so I wanted to be an artist, I gave it up, I wanted do be an expert in geography, i gave it up I wanted to be a sociologist I gave it up"
desire,"Incredibly rewarding in so many ways It can also, especially talking about my cultural experience, I feel like because I come from a community like I said earlier, where mental health is not a big part of the conversation and mental health in general and psychology in general is collectively known as a western field, and oftentimes doing therapy in general can be considered like a privilege for a lot of folks Especially a lot of students who immigrated into the country Struggling with finances, right So, I feel like ideally, in the future Page 12 that is a community that I want to practice with"
